"county","state","area","pop","p18_25","p65","nphysician","nhospbeds","phs","pcollege","ppoverty","punemployed","avg_income","tot_income","region","crime"
"Shelby","TN",755,826330,29.4,10.4,2489,4918,75.1,20.8,14.7,5.4,18430,15229,3,81.1201336027979
"Bergen","NJ",234,825380,25.4,15.3,3226,2279,81.6,31.7,2.7,5.2,32230,26602,1,34.5549928517774
"Fairfax_County","VA",396,818584,29.2,6.5,1694,135,91.4,49,2.2,3.2,28999,23738,3,36.8954194071714
"New_Haven","CT",606,804219,28.7,14.7,3161,2486,77.5,24.2,6,7.3,22197,17851,1,65.7818330579108
"Contra_Costa","CA",720,803732,26.5,10.9,1761,1781,86.5,31.6,5.5,5.6,25523,20514,4,63.7563267357776
"Marion","IN",396,797159,30.6,11.7,2936,4654,76.8,21.4,9.3,5,19148,15264,2,76.5267656766091
"DuPage","IL",334,781666,29,8.7,2157,1842,88.6,36,1.7,4.8,26772,20927,2,38.0060025637549
"Essex","NJ",126,778206,28.6,12.7,2811,4841,70.1,24,11.3,7.9,24523,19084,1,97.1400888710701
"Montgomery","MD",495,757027,28.6,10.2,4635,1507,90.6,49.9,2.7,3.3,30081,22772,3,45.9085343059098
"Clark","NV",7911,741459,29,10.5,969,2011,77.3,13.8,7.5,5.8,18625,13810,4,71.1920686106717
"Baltimore_City","MD",81,736014,30,13.7,5444,6203,60.7,15.5,17.8,9.4,17263,12706,3,118.686601070088
"Prince_George's","MD",486,729268,33.7,6.9,1253,1322,83.2,25.5,3.7,5,19568,14270,3,74.6899630862728
"Salt_Lake","UT",737,725956,27.8,8.5,2094,2076,85.3,23.8,7.7,4.5,15399,11179,4,80.7349205736987
"San_Francisco","CA",47,723959,32.2,14.5,4761,3640,78,35,9.7,5.6,28532,20656,4,98.3950748592116
"Macomb","MI",480,717400,28.2,12.3,705,1202,76.9,13.5,4,9.4,20924,15011,2,57.2177306941734
"Monroe","NY",659,713968,29,12.5,2438,3077,80.1,26.3,7.7,4.4,21641,15451,1,61.319274813437
"Worcester","MA",1513,709705,29.2,13.7,1902,2205,77.4,22.2,6.3,10.2,19895,14120,1,10.0027476204902
"Baltimore","MD",599,692134,27.8,14,1269,641,78.4,25,3.8,5.7,23470,16244,3,67.6010714688196
"Montgomery","PA",483,678111,26.1,15,3237,2425,83.8,32.1,2.2,5,28462,19300,1,29.9877158754245
"Orange","FL",908,677491,33.2,10.6,1367,2929,78.8,21.2,7.8,6.6,17879,12113,3,77.6054589655066
"Duval","FL",774,672971,30.7,10.7,1538,2623,76.9,18.4,9.8,6.6,17662,11886,3,101.915238546683
"Middlesex","NJ",311,671780,31.6,11.8,1637,1880,79.4,26.5,3.4,5.7,24896,16725,1,45.4732203995356
"Essex","MA",498,670080,27.3,14.1,1185,2009,80.2,25.9,7.5,9,22834,15301,1,51.2058261700096
"Ventura","CA",1846,669016,28.8,9.4,1168,1372,79.4,23,5,7,21420,14330,4,45.1932390256735
"Fresno","CA",5963,667490,28.3,10.4,1188,1681,66.2,16.9,16.8,12.6,16365,10923,4,92.8912792701014
"Pima","AZ",9187,666880,28.9,13.7,1841,2016,80.5,23.3,12,3.9,15191,10131,4,85.5491242802303
"Jefferson","KY",385,664937,27,13.4,2171,3559,74.1,19.3,10.9,6.3,19140,12727,3,48.7549948340971
"Suffolk","MA",59,663906,39.2,12.1,5674,6154,75.4,27.7,14.4,8.7,23150,15369,1,103.641178118589
"Jefferson","AL",1113,651525,26.7,14,2532,4602,73.8,19.9,12.7,5.3,18624,12134,3,85.3443843290741
"San_Mateo","CA",449,649623,28.4,12.3,1814,1642,84.1,31.3,4.3,4.2,28819,18721,4,46.9087455339481
"Fulton","GA",529,648951,31.6,10,3368,5757,77.8,31.6,15.4,5.3,22819,14808,3,143.346724174861
"Jackson","MO",605,633232,28.1,13.1,1695,3762,79.5,20,9.8,6.5,18611,11785,2,97.5313944968037
"Norfolk","MA",400,616087,28.8,14.1,2758,1903,88,34.4,3.1,7.5,26909,16578,1,24.0712756477575
"District_of_Columbia","DC",61,606900,33.6,12.8,3674,4262,73.1,33.3,13.3,7.7,23603,14325,3,106.101499423299
"Oklahoma","OK",709,599611,28.4,12.1,1922,3487,79.1,22.6,11.3,6,17741,10638,3,95.1366802810489
"Providence","RI",413,596270,29.9,15.8,1862,2360,67,18.3,8.9,9,17866,10653,1,58.0726851929495
"El_Paso","TX",1013,591610,29.5,8.1,795,1650,63.7,15.2,22.4,10.8,11545,6830,3,91.2797281993205
"Pierce","WA",1676,586203,29.5,10.5,915,1226,83.2,17.5,8.7,6.4,16194,9493,4,71.6134171950672
"Multnomah","OR",435,583887,28.4,13.6,2571,3009,82.9,23.7,8.9,5.1,19215,11219,4,99.7042235912086
"Travis","TX",989,576407,38,7.3,1254,1392,83.4,34.7,10.2,4.8,18340,10571,3,105.760339482345
"Montgomery","OH",462,573809,28.1,12.6,1313,3068,77.8,20,9.8,5.7,18410,10564,2,63.8975687031748
"Monmouth","NJ",472,553124,25.6,12.7,1300,1904,82.8,28.4,3.4,5.8,27391,15151,1,40.320072895047
"Hudson","NJ",47,553099,31.5,12.7,1036,2443,64.1,19.7,12.4,9,18463,10212,1,73.3702284762764
"Delaware","PA",184,547651,27.6,15.5,1374,1588,81.4,24.8,5,5.3,23658,12956,1,34.5548533646428
"De_Kalb","GA",268,545837,32.6,8.5,1036,922,83.9,32.7,7.2,4.4,21005,11465,3,104.335176985071
"Kern","CA",8142,543477,28.3,9.7,682,1194,67.6,13.3,13.7,11.8,15881,8631,4,66.8252750346381
"Bucks","PA",608,541174,26.6,10.9,879,1435,82.9,24.8,2.9,6.7,22548,12202,1,31.2173164268793
"Lake","IL",448,516418,28.9,8.4,1093,1499,84.7,32,3.7,4.6,27378,14138,2,43.2769578132443
"Summit","OH",413,514990,26.8,13.8,1216,2226,78.3,19.7,9.5,6,18583,9570,2,50.9291442552283
"Mecklenburg","NC",527,511433,32,9.4,1114,2021,81.6,28.3,7.2,4.8,20942,10710,3,113.404883924189
"Davidson","TN",502,510784,32.1,11.6,2293,3847,75.9,24.4,10,4.6,19505,9963,3,88.5638547801027
"Bristol","MA",556,506325,27.6,14.4,572,1306,65,15.9,7.4,12.3,18521,9378,1,43.4957784031995
"Tulsa","OK",570,503341,28.2,11.5,1158,2512,81.7,23.7,10,6.1,19295,9712,3,78.4676789691283
"Camden","NJ",222,502824,27.5,12.2,1255,2041,75.5,21,8,6.9,19930,10021,1,69.2369497080489
"Kent","MI",856,500631,29.6,10.8,1007,1460,80.3,20.7,6.9,7.5,18674,9349,2,63.0264606067143
"Orleans","LA",181,496938,28.3,13,2500,4018,68.1,22.4,27.3,6.1,16578,8238,3,109.144400307483
"Union","NJ",103,493819,26.8,15,1362,2541,75.2,25,5.3,6.9,26248,12962,1,61.3564889159793
"Ramsey","MN",156,485765,31,12.2,1512,1140,85,28.8,8.1,4.3,20303,9862,2,62.9398989223184
"San_Joaquin","CA",1399,480628,27.7,11.1,666,1051,68.6,13.2,12,12,15453,7427,4,85.6774886190567
"Bernalillo","NM",1166,480577,29.2,10.5,1585,1726,82.1,26.7,10.9,5.2,17518,8419,4,85.8967449545026
"Lake","IN",497,475594,25.5,12.3,707,2413,73.5,12.8,11.7,7.1,16327,7765,2,62.923417873228
"Onondaga","NY",780,468973,29.4,13,1534,1668,80.7,24.4,7.1,5.6,19401,9099,1,49.574282527992
"Denver","CO",153,467610,30.3,13.8,2867,3652,79.2,29,13.1,5.4,22156,10360,4,80.1223241590214
"Snohomish","WA",2090,465642,28.1,9.5,502,672,85.7,19.3,4.9,5.6,18545,8635,4,43.6451179232114
"Lucas","OH",340,462361,27.8,13,1391,3021,76.2,17,12,8.8,17815,8237,2,82.6064482082183
"Hampden","MA",619,456310,27.8,14.8,904,1665,73.6,17.6,10.9,9.6,19073,8703,1,53.1371216935855
"Passaic","NJ",185,453060,28.9,12.9,831,1912,68.8,18.7,7.6,8.1,21973,9955,1,58.3454730057829
"Jefferson","LA",306,448306,28.1,10.2,1237,1648,76,18.8,11.4,5.6,17101,7666,3,92.849526885654
"Cobb","GA",340,447745,31.7,6.3,622,983,85.8,33,3.8,4.1,21933,9820,3,61.6020279400105
"New_Castle","DE",426,441946,30.6,11.4,1038,1488,80.6,25.2,5,6.2,22284,9848,1,62.7158069085363
"Jefferson","CO",772,438430,26.9,8,551,298,89.8,30.7,4.1,4.1,20997,9206,4,53.4931459982209
"Plymouth","MA",661,435276,27.1,11.6,576,813,83.8,22.2,5.3,10.4,21500,9358,1,34.1070952682895
"Ocean","NJ",636,433203,22.4,23.2,513,1475,74.9,15.3,4.3,7.4,20974,9086,1,40.1174507101751
"Genesee","MI",640,430459,27.2,10.2,692,1830,76.8,12.8,14,12.6,16829,7244,2,76.9782952615696
"Anne_Arundel","MD",416,427239,29.6,8.8,616,617,81.1,24.6,3,5,22797,9740,3,51.086160205412
"Wake","NC",834,423380,34.5,7.8,761,1199,85.4,35.3,5.5,3.5,20658,8746,3,61.4247248334829
"Lancaster","PA",949,422822,27.2,13.1,574,1241,70.5,16.7,5.3,5.3,18878,7982,1,30.9491937505617
"Morris","NJ",469,421353,26.7,10.6,1147,1599,87,36.7,1.8,5.1,31520,13281,1,28.8285594264192
"Douglas","NE",331,416444,29,11.4,1603,2889,84.5,24.9,8.1,2.9,19629,8174,2,62.4477720894046
"Polk","FL",1875,405382,23.9,18.6,559,1288,68,12.9,9.4,10.1,14835,6014,3,91.987310734073
"Sedgwick","KS",1000,403662,28.5,11.4,930,1840,82.4,22.2,8.3,4.5,19276,7781,2,84.4047742913626
"Brevard","FL",1019,398978,26.2,16.6,563,1085,82.3,20.4,6.3,7.1,17668,7049,3,59.3666818721834
"El_Paso","CO",2127,397014,31.7,8,548,1026,88.3,25.8,8.1,6.1,16807,6673,4,63.5594714544071
"St._Louis_City","MO",62,396685,28.7,16.6,4189,7814,62.8,15.3,20.6,9,18113,7185,2,161.596732924109
"Burlington","NJ",805,395066,28.8,10.7,719,1150,81.9,23.6,3.1,5.6,23008,9090,1,32.9919557744782
"VA_Beach_City","VA",248,393069,35.3,5.9,679,530,88,25.5,4.3,5.4,17697,6956,3,59.5620616227685
"Arapahoe","CO",803,391511,28.3,7.4,583,742,91.5,35.2,4.4,3.9,22507,8812,4,70.4628988712961
"Sonoma","CA",1576,388222,25.8,13.4,840,798,84.4,24.5,5.2,5.7,22055,8562,4,47.79739427441
"Hidalgo","TX",1569,383545,26.4,10.1,311,860,46.6,11.5,36.3,17.6,8899,3413,3,69.6450220964945
"East_Baton_Rouge","LA",456,380105,31.5,9.2,841,1876,80.5,27.5,15.1,5.4,17881,6797,3,109.422396443088
"Mobile","AL",1233,378643,26.7,11.8,850,1898,70.1,15.5,17.5,7.2,14389,5448,3,80.3104771513008
"Chester","PA",756,376396,27.1,10.9,594,920,84.9,34.7,3,4.6,24732,9309,1,25.2154645639167
"Volusia","FL",1106,370712,24.3,22.8,495,1349,75.4,14.8,7.9,6.9,15648,5801,3,69.4231640734586
"Stanislaus","CA",1495,370522,27.4,10.8,558,1306,68.4,13,11.4,14.3,15238,5646,4,68.7165674372912
"Westmoreland","PA",1023,370321,23.3,17.1,522,1306,77.7,15.4,8.6,6.9,17069,6321,1,20.104179887179
"Santa_Barbara","CA",2739,369608,32.8,12.3,875,1031,80,26.6,7.4,6,21902,8095,4,49.5470877253739
"Stark","OH",576,367585,24.9,14.4,595,1537,76,14.3,8.9,6.9,16898,6211,2,47.5155406232572
"Dane","WI",1202,367085,35.6,9.3,1603,1382,88.9,34.2,4.8,3.1,20087,7374,2,55.4204067177902
"Spokane","WA",1764,361364,27,13.2,852,1346,84.4,20.6,9.8,6.2,16365,5914,4,55.4620825538792
"Will","IL",837,357313,27.4,8.6,298,746,80.4,18,4.5,7.4,18787,6713,2,45.9876914637867
"Monterey","CA",3322,355660,32.6,9.8,515,602,72.9,21.5,8.5,10.9,19465,6923,4,50.2446156441545
"Johnson","KS",477,355054,27.5,9.4,1173,925,92.9,40.5,2.5,3.3,26156,9287,2,42.9174153790691
"Gwinnett","GA",433,352910,32.6,4.7,271,439,86.7,29.6,2.9,4,19861,7009,3,48.5081182171092
"Pulaski","AR",771,349660,28.5,11.5,1510,2785,79,23.5,10.5,5.8,18225,6373,3,121.272092890236
"Guilford","NC",650,347420,30.4,11.9,676,1188,76.1,24.8,7.3,5.4,20349,7070,3,81.2043060272869
"Solano","CA",828,340421,29.7,8.2,481,503,82.7,18.7,6,7,17268,5878,4,63.9091007899043
"York","PA",905,339574,26.6,13.1,460,951,72.8,13.9,4.3,6.2,19502,6622,1,33.253429296707
"Berks","PA",859,336523,26.1,15.6,567,1041,70,15.1,5.2,6.7,19655,6614,1,38.1162654558529
"Hillsborough","NH",877,336073,30,10.3,587,1050,82.2,26.4,4,7.5,22581,7589,1,38.2149116412208
"Knox","TN",509,335749,30,12.7,984,2178,74.6,23.9,10.2,4.6,17382,5836,3,66.7820306240674
"Lee","FL",804,335113,21.5,24.7,509,1202,76.9,16.4,6.1,6.4,18877,6326,3,55.0321831740338
"Luzerne","PA",891,328149,24.1,19.7,594,1495,72,13.1,8.3,8.8,16405,5383,1,15.1821276310457
"Mercer","NJ",226,325824,29.2,13,994,1724,77.1,29.5,5.3,5.5,26026,8480,1,61.8524111176586
"Greenville","SC",792,320167,28.2,11.9,650,1358,71.6,21,7.8,4.9,17874,5723,3,64.041578301324
"Kane","IL",521,317471,27.8,9.3,473,1263,77.7,21.4,5,7.5,21684,6884,2,52.6693776754412
"Tulare","CA",4824,311921,26.3,10.8,358,656,60.2,11.8,18,17.1,14710,4588,4,62.4805639889587
"Washington","OR",724,311554,27.6,10.1,353,294,88.2,29.8,4.8,4.4,19932,6210,4,40.5387188095804
"Orange","NY",816,307647,28,10.4,479,986,77.2,19.5,6.4,6.7,19788,6088,1,35.6740029969413
"Waukesha","WI",556,304715,24.4,9.8,687,677,88,27.1,2.2,4.1,23004,7010,2,29.3224816631935
"Allen","IN",657,300836,27.4,11.4,552,1268,81.2,19,5.6,5.9,19123,5753,2,65.9562020502865
"Charleston","SC",917,295039,34.1,10.1,1357,1956,75.5,22.4,13.8,4.9,16015,4725,3,95.5466904375354
"Albany","NY",524,292594,30.4,14.7,1257,1246,80.9,28.3,6,4.5,21003,6145,1,51.5287394820126
"Butler","OH",467,291479,29.9,10.2,308,878,76,18.7,7.6,6.6,16750,4882,2,47.516287622779
"Nueces","TX",836,291145,27.3,10.1,584,1406,68.9,17,17.2,7.7,15124,4403,3,98.2534475948411
"Lehigh","PA",347,291130,26.3,15.4,637,1305,74.6,19.6,4.9,6.6,19785,5760,1,42.0911620238382
"Seminole","FL",308,287529,27.9,10.3,357,352,84.6,26.3,5.3,6.1,17885,5142,3,60.9260283310553
"Richland","SC",757,285720,34.7,9.5,999,1207,79.4,28,10.1,4.6,17137,4896,3,84.3518129637407
"Hamilton","TN",543,285536,26.3,13.5,738,1573,72.5,19.7,10.2,5.9,18242,5209,3,82.4134259778101
"Washtenaw","MI",710,282937,39.5,7.5,2188,1730,87.2,41.9,6.4,6,22782,6446,2,68.4498669315077
"Lane","OR",4554,282912,27.4,13.1,497,654,83,22.2,9.4,6.5,15701,4442,4,56.8763431738491
"Ingham","MI",559,281912,37.4,8.7,729,1438,83.9,29.2,11,6.9,17458,4922,2,61.4979142427424
"Pasco","FL",745,281131,18.4,32.3,308,941,66.9,9.1,7.9,8.3,13944,3920,3,44.495270887949
"Clackamas","OR",1868,278850,23.1,11.5,462,345,85.7,23.6,4.7,4.2,19942,5561,4,46.1000537923615
"Sarasota","FL",572,277776,18.2,32.1,631,1363,81.3,21.9,4.6,5.1,24948,6930,3,71.2840562179598
"Erie","PA",802,275572,27.5,13.8,468,1417,77.5,16.2,9.5,7.1,16331,4500,1,36.0559127923011
"Dakota","MN",570,275227,30.6,6.4,201,283,90.7,27.6,3.3,4.7,21123,5814,2,39.7962409211306
"Cumberland","NC",653,274566,37.4,6.2,291,586,80.3,16.6,12.1,6.4,12923,3548,3,91.9523903178107
"Denton","TX",889,273525,36.9,5,216,458,86.8,32.3,4.5,5.6,17801,4869,3,74.4794808518417
"Lorain","OH",493,271126,26.4,11.6,291,941,75.3,12.3,9.1,9.5,16006,4340,2,36.3816085510058
"Forsyth","NC",410,265878,29.2,12.3,1194,1609,77.6,24.1,7.8,4.4,20645,5489,3,81.0672564108351
"Rockland","NY",174,265475,25.5,10.1,931,745,83.3,33,4.1,5.3,26757,7103,1,27.0985968546944
"Adams","CO",1192,265038,29.6,7.6,439,318,78.8,13,8.8,5,16116,4271,4,73.0800866290871
"Mahoning","OH",415,264806,23.5,17.1,601,1473,74.6,14,12.8,6.7,16256,4305,2,49.7760624759258
"Collin","TX",848,264036,29.8,5.3,282,571,88.3,39.1,3.9,5.9,22303,5889,3,66.7522610553106
"Utah","UT",1998,263590,33.9,7,291,544,87.9,26.2,10.6,4.3,11467,3023,4,40.2329375165977
"St._Clair","IL",664,262852,26.8,12.7,329,1088,72.6,14.7,13.9,8.4,16190,4256,2,55.4038013787226
"Escambia","FL",664,262798,29.2,11.9,522,1584,76.2,18.2,13.3,5.8,15392,4045,3,54.7188334766627
"Norfolk_City","VA",54,261229,41.7,10.5,1101,1471,72.7,16.8,15.1,6.4,16412,4287,3,96.4441160820583
"Cameron","TX",906,260120,25.9,10.6,270,825,50,12,33.7,12.5,9728,2530,3,72.4357988620637
"Dutchess","NY",802,259462,29,11.4,535,741,79.8,24.8,3.6,5.1,22173,5753,1,35.0224695716521
"New_London","CT",666,254957,31.2,11.9,486,515,80.9,21.8,4.7,6.8,20259,5165,1,30.6208497903568
"Washoe","NV",6343,254667,29.5,10.3,603,990,82.5,20.7,6.3,5,21327,5431,4,73.9436204926433
"Hinds","MS",869,254441,29.5,11.2,1076,2118,75.2,26.4,16.7,6.3,16215,4126,3,113.350442735251
"Winnebago","IL",514,252913,26.5,12.7,521,910,76.3,16.7,7.7,7.9,18376,4648,2,77.7895956316994
"Oneida","NY",1213,250836,27.7,15.5,437,905,75.1,16.7,8.8,6.7,16477,4133,1,36.8128976701909
"Madison","IL",725,249238,26.2,13.9,275,1120,75.8,14.4,8.5,7.9,17980,4481,2,42.7944374453334
"Caddo","LA",882,248253,25.2,13.3,898,1868,73.4,18.2,19.1,7.1,16337,4056,3,88.9858330010111
"Northampton","PA",374,247105,26.9,15,459,933,73.1,16.7,4.9,6.8,18336,4531,1,26.1103579450031
"St._Joseph","IN",457,247052,28.2,14.1,417,927,76.1,19.2,7.1,5.7,17211,4252,2,43.0557129673105
"Rockingham","NH",695,245845,29,9.2,343,514,86.2,25.9,3.2,8,21770,5352,1,29.6731680530416
"Cumberland","ME",836,243135,29.1,13,732,1104,85,27.6,5.7,5.7,21362,5194,1,56.824397968207
"Somerset","NJ",305,240279,28.6,10.8,783,374,86.3,38.3,1.4,4.1,33180,7972,1,34.5764715185264
"Jefferson","TX",904,239397,25.8,14,449,1724,74.4,15.5,15.5,6.7,17418,4170,3,90.5483360276027
"Madison","AL",805,238912,31.4,8.9,399,933,80.2,30.1,8.4,5.2,18990,4537,3,27.7717318510581
"Clark","WA",628,238053,25.3,10.6,256,299,83.9,16.8,7,6.6,16790,3997,4,44.9731782418201
"Dauphin","PA",525,237813,26.8,14.3,824,1425,77.6,18.6,7.2,5.5,18348,4363,1,48.6222367995021
"Marin","CA",520,230096,24.7,12.3,1001,488,91.9,44,3,4,37541,8638,4,41.1132744593561
"Gloucester","NJ",325,230082,28,10.8,199,339,77.5,18.1,4.7,7.1,18523,4262,1,42.3588112064394
"Santa_Cruz","CA",446,229734,29.9,11.3,429,390,81.9,29.7,6.2,8,22025,5060,4,59.6646556452245
"Marion","OR",1185,228483,25.7,14.3,376,498,78.7,17.5,9.4,5.7,16022,3661,4,64.8844771821098
"Trumbull","OH",616,227813,23.9,14.4,225,925,75.2,11.4,9.4,7.9,16144,3678,2,32.1096688951026
"Spartanburg","SC",811,226800,27,12.6,375,832,63,14.3,8.8,5.5,15776,3578,3,75.8289241622575
"Fort_Bend","TX",875,225421,26.8,4.9,231,301,80.9,30.2,6.9,3.8,18301,4125,3,41.8461456563497
"Fayette","KY",285,225366,34.9,9.9,1248,1851,80.2,30.6,10.2,3.8,19320,4354,3,77.1101230886647
"Boulder","CO",743,225339,34.2,7.6,452,387,91.3,42.1,5.6,3.5,21421,4827,4,62.6788971283267
"Atlantic","NJ",561,224327,29,14.5,379,990,72.9,16.4,6.4,8.3,24035,5392,1,112.188902807063
"Kalamazoo","MI",562,223411,32.4,10.6,614,793,83.4,27.1,8.9,5.9,18288,4086,2,68.5105030638599
"Lubbock","TX",900,222636,34.1,9.8,655,1562,74.2,23.4,13.2,5.6,15443,3438,3,65.1691550333279
"Niagara","NY",523,220756,25.8,15.1,239,893,75.8,13.6,8.6,8.3,16647,3675,1,42.7485549656634
"Lackawanna","PA",459,219039,24.3,19.8,429,1136,73.3,14.8,7.8,7.9,16963,3716,1,19.9416542259598
"Galveston","TX",399,217399,26.9,10.5,950,1592,75.8,19.3,12.5,7,17744,3858,3,85.4925735628959
"San_Luis_Obispo","CA",3305,217162,31.4,14.1,424,522,83.3,22.9,6.8,5.8,17221,3740,4,37.3131579189729
"Chatham","GA",440,216935,28.5,12.8,494,1112,73.7,18.6,13.6,4.3,17776,3856,3,86.348445386867
"Prince_William_County","VA",338,215686,32.3,3,196,153,87.8,27.6,2.3,4.3,20543,4431,3,41.7319622043155
"Lake","OH",228,215499,26.4,12,233,359,81.1,17.5,3.6,5.7,19692,4244,2,25.4339927331449
"Lancaster","NE",839,213641,33.9,10.8,389,778,88.1,27.6,6,2.2,17816,3806,2,76.8298219910972
"St._Charles","MO",561,212907,29,6.9,172,613,83.3,21.2,3.5,6.4,18753,3993,2,36.565260888557
"Broome","NY",707,212160,28.6,15,460,816,78.9,20.7,6.5,5.9,18058,3831,1,35.0443061840121
"Saginaw","MI",809,211946,25.5,12,335,1193,74.8,13,14.7,8.8,16904,3583,2,76.387381691563
"Manatee","FL",741,211707,21,28.1,322,855,75.6,15.5,6.8,5.8,17997,3810,3,79.9028846471775
"Montgomery","AL",790,209085,28.4,11.6,419,1102,75.3,24.2,14.1,5.9,17469,3653,3,83.1623502403329
"Greene","MO",675,207949,31,13.3,490,1785,78.9,20.7,9.2,4.8,16630,3458,2,65.1650164222959
"Kanawha","WV",903,207619,23.9,15.7,569,1342,72.4,17.6,12.3,7.5,17192,3569,3,49.3500113188099
"Ada","ID",1055,205775,27.6,10.4,367,557,87.2,24.9,6.2,4.1,18786,3866,4,47.1437249422913
"Washington","PA",857,204584,23.7,17.5,236,687,73.2,13.6,9.7,7,16625,3401,1,22.1229421655652
"St._Louis","MN",6226,198213,24.3,16.9,406,1391,80.3,17.3,9.7,6.5,15419,3056,2,37.9288946739114
"Cumberland","PA",550,195257,28.6,13.4,375,733,81,22.9,2.8,4.6,19254,3759,1,26.8722760259555
